Ticker,Company,Volume,Open Price,Current,Change
AAVL,Alien Aisha Vending Ltd.,"4,050",29,26,-10.34%
ACFI,Achyfi Enterprises,"1,000",28,32,+14.29%
BB,Breadmaster Bakeries,"1,000",10,9,-10.00%
BBBB,Bobs Big Bonus Bingo,"14,000",8,7,-12.50%
BODA,Boda Furnishings Inc,"23,456",12,16,+33.33%
BOOM,Boom Boxes!,"9,010",17,18,+5.88%
BOTT,Balthazar's Faerie Bottling Inc.,0,22,23,+4.55%
BUZZ,Buzz-A-Way Insect Removal,"2,000",80,75,-6.25%
CHIA,Chia Steel Holdings,0,30,21,-30.00%
CHPS,Chiatech Password Security,"8,000",19,10,-47.37%
COFL,Confederation of Fish Lovers,"1,000",125,134,+7.20%
CYBU,Cybun Electromatics,0,37,45,+21.62%
DROO,Dice-A-Roo Industries PLC.,"78,250",17,15,-11.76%
DUNG,Dung Master,"43,633",15,9,-40.00%
EEEE,EURGH!!! Ltd.,0,24,29,+20.83%
FAER,Faerie Clothing Ltd.,"40,689",15,19,+26.67%
FISH,Fish Pops!,500,32,26,-18.75%
FUZZ,Fuzz-I-Ow! Plasters and Bandages,"2,000",28,22,-21.43%
GG,Grundo Galactic,"29,046",17,17,0%
GORM,Gorm Corp,"1,000",7,8,+14.29%
GWH,Grundo Warehouse Mint,"1,000",22,23,+4.55%
HAKA,Hakaheke Island Flights,"30,000",13,8,-38.46%
HELT,Health Frog Groceries,"85,521",16,12,-25.00%
HUW,Huberts Hot Dogs,0,25,31,+24.00%
JCK,Jacko and Sons Painting Ltd.,0,8,13,+62.50%
KATE,Kacheek Telecommunications,0,14,12,-14.29%
KAUF,Kau-Kau Farm,0,87,107,+22.99%
KBAT,Kor-Bat Cricket Supplies,0,36,38,+5.56%
KSON,Kacheek and Sons Landscaping,"1,000",234,248,+5.98%
LDSC,Lost Desert Scratchcards,0,246,265,+7.72%
LUPE,Lupe Consolidated,"2,000",19,18,-5.26%
MP,Meridell Potato Company,0,40,59,+47.50%
MYNC,Mynci Banana Imports,"3,000",66,60,-9.09%
NAI,Neopen AI,0,9,9,0%
NAKR,Nakron,"1,000",120,124,+3.33%
NATN,The National Neopian Bank,"15,000",15,12,-20.00%
NEGG,Neggwork Commerce,0,71,77,+8.45%
NST,NeoSCOOL Technologies,500,29,24,-17.24%
NTV,Neopian TV Channel One,"1,000",87,102,+17.24%
NUG,Nugget Petz,"10,000",8,8,0%
PDSS,PD Secure Storage,0,30,26,-13.33%
PEOP,Peophin Water Parks!,0,10,11,+10.00%
POWR,Power-X Corp.,"1,000",28,36,+28.57%
SHRX,Shoyrux Enterprises,"1,000",95,104,+9.47%
SILL,Silly Squirrel Incorporated,0,10,13,+30.00%
SKBD,Skeith Bodyguards Inc.,"27,009",20,17,-15.00%
SKEI,Skeith Feeding Ltd.,0,109,109,0%
SMUG,The Smugglers Cove,"23,500",10,14,+40.00%
SSGS,Meri Acre Sausages,0,40,33,-17.50%
SSS,Super Splime Shakes,"2,400",688,710,+3.20%
STFP,Stuff-A-Pet Inc.,"2,000",277,250,-9.75%
SWNC,Shop Wizard N-Commerce,"1,000",31,33,+6.45%
TAG,The Auction Genie,20,39,42,+7.69%
TCAG,The Chia Actors Guild,"1,000",54,63,+16.67%
TEFV,Techrobatics Fitness Videos,"1,000",28,24,-14.29%
TGG,The Grundo Gazette,0,23,26,+13.04%
TNAH,The Neopian Auction House,"1,000",52,48,-7.69%
TPEG,Theme Park Entertainers Guild,"1,000",14,10,-28.57%
TPP,The Presidential Palace,0,134,144,+7.46%
TSRC,The Shoyru Company,"3,000",114,113,-0.88%
TYP,Tyrannia Psychics,"2,020",42,27,-35.71%
UNIB,Unis Beauty Salon,0,24,33,+37.50%
VPTS,Virtupets,"30,633",16,11,-31.25%
WERE,Werelupe Way,"49,500",14,13,-7.14%
WISH,Wish Witch Wishing Co.,"11,000",10,8,-20.00%
YIPP,Yippee!,960,39,40,+2.56%
