Ticker,Company,Volume,Open Price,Current,Change
AAVL,Alien Aisha Vending Ltd.,0,26,26,0%
ACFI,Achyfi Enterprises,0,32,32,0%
BB,Breadmaster Bakeries,0,9,9,0%
BBBB,Bobs Big Bonus Bingo,"6,000",6,6,0%
BODA,Boda Furnishings Inc,"1,000",17,18,+5.88%
BOOM,Boom Boxes!,0,18,18,0%
BOTT,Balthazar's Faerie Bottling Inc.,0,23,23,0%
BUZZ,Buzz-A-Way Insect Removal,0,75,75,0%
CHIA,Chia Steel Holdings,0,22,22,0%
CHPS,Chiatech Password Security,0,9,9,0%
COFL,Confederation of Fish Lovers,0,133,133,0%
CYBU,Cybun Electromatics,0,45,45,0%
DROO,Dice-A-Roo Industries PLC.,"12,000",15,16,+6.67%
DUNG,Dung Master,0,9,9,0%
EEEE,EURGH!!! Ltd.,0,31,31,0%
FAER,Faerie Clothing Ltd.,"1,000",19,19,0%
FISH,Fish Pops!,0,25,25,0%
FUZZ,Fuzz-I-Ow! Plasters and Bandages,"1,000",21,19,-9.52%
GG,Grundo Galactic,"1,000",16,16,0%
GORM,Gorm Corp,0,8,10,+25.00%
GWH,Grundo Warehouse Mint,0,26,27,+3.85%
HAKA,Hakaheke Island Flights,0,8,8,0%
HELT,Health Frog Groceries,0,12,12,0%
HUW,Huberts Hot Dogs,0,31,31,0%
JCK,Jacko and Sons Painting Ltd.,0,13,13,0%
KATE,Kacheek Telecommunications,0,12,12,0%
KAUF,Kau-Kau Farm,0,104,104,0%
KBAT,Kor-Bat Cricket Supplies,0,38,38,0%
KSON,Kacheek and Sons Landscaping,0,243,243,0%
LDSC,Lost Desert Scratchcards,"1,000",267,267,0%
LUPE,Lupe Consolidated,0,18,16,-11.11%
MP,Meridell Potato Company,0,57,57,0%
MYNC,Mynci Banana Imports,0,61,61,0%
NAI,Neopen AI,0,10,10,0%
NAKR,Nakron,0,124,124,0%
NATN,The National Neopian Bank,0,12,12,0%
NEGG,Neggwork Commerce,0,77,78,+1.30%
NST,NeoSCOOL Technologies,0,24,27,+12.50%
NTV,Neopian TV Channel One,0,102,101,-0.98%
NUG,Nugget Petz,0,8,8,0%
PDSS,PD Secure Storage,0,26,26,0%
PEOP,Peophin Water Parks!,0,11,11,0%
POWR,Power-X Corp.,0,37,36,-2.70%
SHRX,Shoyrux Enterprises,0,104,104,0%
SILL,Silly Squirrel Incorporated,0,14,14,0%
SKBD,Skeith Bodyguards Inc.,"10,000",17,15,-11.76%
SKEI,Skeith Feeding Ltd.,0,107,107,0%
SMUG,The Smugglers Cove,"23,000",14,15,+7.14%
SSGS,Meri Acre Sausages,0,33,33,0%
SSS,Super Splime Shakes,0,714,714,0%
STFP,Stuff-A-Pet Inc.,"1,000",250,250,0%
SWNC,Shop Wizard N-Commerce,0,33,33,0%
TAG,The Auction Genie,0,42,42,0%
TCAG,The Chia Actors Guild,0,71,71,0%
TEFV,Techrobatics Fitness Videos,0,24,24,0%
TGG,The Grundo Gazette,0,28,30,+7.14%
TNAH,The Neopian Auction House,0,51,47,-7.84%
TPEG,Theme Park Entertainers Guild,0,10,10,0%
TPP,The Presidential Palace,0,144,142,-1.39%
TSRC,The Shoyru Company,0,111,111,0%
TYP,Tyrannia Psychics,0,29,29,0%
UNIB,Unis Beauty Salon,0,33,31,-6.06%
VPTS,Virtupets,0,12,12,0%
WERE,Werelupe Way,0,13,13,0%
WISH,Wish Witch Wishing Co.,0,7,7,0%
YIPP,Yippee!,0,40,40,0%
