Ticker,Company,Volume,Open Price,Current,Change
AAVL,Alien Aisha Vending Ltd.,0,26,25,-3.85%
ACFI,Achyfi Enterprises,0,32,32,0%
BB,Breadmaster Bakeries,0,9,8,-11.11%
BBBB,Bobs Big Bonus Bingo,"16,000",6,6,0%
BODA,Boda Furnishings Inc,"1,000",17,17,0%
BOOM,Boom Boxes!,"2,000",18,18,0%
BOTT,Balthazar's Faerie Bottling Inc.,0,23,25,+8.70%
BUZZ,Buzz-A-Way Insect Removal,0,75,75,0%
CHIA,Chia Steel Holdings,0,22,24,+9.09%
CHPS,Chiatech Password Security,0,9,9,0%
COFL,Confederation of Fish Lovers,0,133,133,0%
CYBU,Cybun Electromatics,0,45,43,-4.44%
DROO,Dice-A-Roo Industries PLC.,"15,000",15,17,+13.33%
DUNG,Dung Master,0,9,9,0%
EEEE,EURGH!!! Ltd.,0,31,31,0%
FAER,Faerie Clothing Ltd.,"1,000",19,18,-5.26%
FISH,Fish Pops!,0,25,25,0%
FUZZ,Fuzz-I-Ow! Plasters and Bandages,"1,000",21,18,-14.29%
GG,Grundo Galactic,"2,000",16,17,+6.25%
GORM,Gorm Corp,0,8,11,+37.50%
GWH,Grundo Warehouse Mint,0,26,27,+3.85%
HAKA,Hakaheke Island Flights,0,8,8,0%
HELT,Health Frog Groceries,0,12,12,0%
HUW,Huberts Hot Dogs,0,31,32,+3.23%
JCK,Jacko and Sons Painting Ltd.,0,13,12,-7.69%
KATE,Kacheek Telecommunications,"19,000",12,15,+25.00%
KAUF,Kau-Kau Farm,0,104,101,-2.88%
KBAT,Kor-Bat Cricket Supplies,0,38,36,-5.26%
KSON,Kacheek and Sons Landscaping,0,243,245,+0.82%
LDSC,Lost Desert Scratchcards,"2,000",267,267,0%
LUPE,Lupe Consolidated,0,18,16,-11.11%
MP,Meridell Potato Company,0,57,55,-3.51%
MYNC,Mynci Banana Imports,0,61,56,-8.20%
NAI,Neopen AI,0,10,11,+10.00%
NAKR,Nakron,0,124,124,0%
NATN,The National Neopian Bank,0,12,10,-16.67%
NEGG,Neggwork Commerce,0,77,78,+1.30%
NST,NeoSCOOL Technologies,0,24,27,+12.50%
NTV,Neopian TV Channel One,0,102,99,-2.94%
NUG,Nugget Petz,0,8,12,+50.00%
PDSS,PD Secure Storage,0,26,26,0%
PEOP,Peophin Water Parks!,0,11,10,-9.09%
POWR,Power-X Corp.,0,37,36,-2.70%
SHRX,Shoyrux Enterprises,0,104,104,0%
SILL,Silly Squirrel Incorporated,0,14,11,-21.43%
SKBD,Skeith Bodyguards Inc.,"30,000",17,16,-5.88%
SKEI,Skeith Feeding Ltd.,0,107,112,+4.67%
SMUG,The Smugglers Cove,"41,000",14,16,+14.29%
SSGS,Meri Acre Sausages,0,33,33,0%
SSS,Super Splime Shakes,0,714,719,+0.70%
STFP,Stuff-A-Pet Inc.,"1,000",250,251,+0.40%
SWNC,Shop Wizard N-Commerce,0,33,31,-6.06%
TAG,The Auction Genie,0,42,43,+2.38%
TCAG,The Chia Actors Guild,0,71,67,-5.63%
TEFV,Techrobatics Fitness Videos,0,24,24,0%
TGG,The Grundo Gazette,0,28,32,+14.29%
TNAH,The Neopian Auction House,0,51,45,-11.76%
TPEG,Theme Park Entertainers Guild,0,10,9,-10.00%
TPP,The Presidential Palace,0,144,139,-3.47%
TSRC,The Shoyru Company,0,111,111,0%
TYP,Tyrannia Psychics,0,29,29,0%
UNIB,Unis Beauty Salon,0,33,29,-12.12%
VPTS,Virtupets,0,12,14,+16.67%
WERE,Werelupe Way,0,13,13,0%
WISH,Wish Witch Wishing Co.,"2,000",7,6,-14.29%
YIPP,Yippee!,0,40,35,-12.50%
